"idSolution";"test";"idExercise";"description"
1;"-5 == soma(-2,-3)";1;"A soma entre números negativos está errada"
2;"0 == soma(0,0)";1;"A soma entre zeros deveria ser zero"
3;"7 == soma(4,3)";1;"A soma entre números positivos está errada"
4;"1 == fatorial(0)";2;"Faltou condição básica : Fatorial de 0 = 1"
5;"1 == fatorial(1)";2;"Não avaliou fatorial de 1 = 1"
6;"120 == fatorial(5)";2;"Regra do fatorial não está sendo implementada"
7;"40320 == fatorial(8)";2;"Regra do fatorial está inválida"
8;"39916800 == fatorial(11)";2;"Regra do fatorial está errada"
9;"1 == fibonnaci(1)";3;"Faltou condição básica : Fibonnaci de 1 = 1"
10;"1 == fibonnaci(2)";3;"Não avaliou fatorial de 2 = 1"
11;"5 == fibonnaci(5)";3;"Regra de fibonnaci não está sendo implementada"
12;"13 == fibonnaci(7)";3;"Regra de fibonnaci está inválida"
13;"34 == fibonnaci(9)";3;"Regra de fibonnaci está errada"
14;"24 == produtorio(1,4)";5;"Regra do produtório não está sendo implementada"
15;"2520 == produtorio(3,7)";5;"Regra do produtório está errada"
16;"0 == produtorio(0,10)";5;"Produtório com 0 deve ser igual a 0"
17;"1 == produtorio(1,1)";5;"O produtório com dois parâmetros de mesmo valor deve ser igual ao próprio valor"
18;"7 == produtorio(7,7)";5;"O produtório com dois parâmetros de mesmo valor deve ser igual ao próprio valor"
19;"1 == multiplo(1,1)";6;"Não avaliou se 1 é múltiplo de 1"
20;"0 == multiplo(1,100)";6;"A sua avaliação está no mínimo invertida"
21;"1 == multiplo(108, 1)";6;"Todo número deve ser múltiplo de 1"
22;"1 == multiplo(8,4)";6;"A regra do múltiplo não verifica se um número é múltiplo do outro"
23;"0 == multiplo(3,2)";6;"A regra do múltiplo não verifica se um número não é múltiplo"
24;"1 == multiplo(80,20)";6;"A regra do múltiplo está errada"
25;"0 == somatorio(0,0)";7;"Não calcula o somatório de 0 a 0"
26;"1 == somatorio(1,1)";7;"Somatório de um número até ele mesmo é o próprio"
27;"27 == somatorio(8,10)";7;"A regra do somatório não está boa"
28;"44 == somatorio(2,9)";7;"A regra do somatório não está sendo calculada"
29;"300 == somatorio(13,27)";7;"A regra do somatório está falhando"
30;"2.00 == lanchonete(1,1)";8;"O sanduíche 1 não está sendo calculado"
31;"6.00 == lanchonete(1,3)";8;"Não calcula a quantidade de sanduíches 1"
32;"2.50 == lanchonete(2,1)";8;"Não está canculando o sanduíche 2"
33;"10.00 == lanchonete(2,4)";8;"A quantidade de sanduíche 2 não está sendo calculada"
34;"5.00 == lanchonete(3,1)";8;"O sanduíche 3 não está sendo calculado"
35;"25.00 == lanchonete(3,5)";8;"Não calcula a quantidade de sanduíches 3"
36;"3.50 == lanchonete(4,1)";8;"Não está canculando o sanduíche 4"
37;"7.00 == lanchonete(4,2)";8;"A quantidade de sanduíche 4 não está sendo calculada"
38;"8.50 == lanchonete(5,1)";8;"O sanduíche 5 não está sendo calculado"
39;"93.50 == lanchonete(5,11)";8;"Não calcula a quantidade de sanduíches 5"
42;"expected:<Thiago>";11;"Atributo titular não foi criado"
43;"expected:<180.0>";11;"Método saca foi incorretamente implementado"
44;"expected:<140.0>";11;"Método deposita foi incorretamente implementado"
45;"expected:<Thiago[]>";12;"Getter ou Setter do atributo titular está falhando"
46;"expected:<230.0>";12;"Getter ou Setter do atributo saldo está falhando"
47;"expected:<180.0>";12;"Método saca foi incorretamente implementado"
48;"expected:<140.0>";12;"Método deposita foi incorretamente implementado"
49;"31350876461:false";14;"O cálculo do cpf está incorreto"
50;"11111111111:false";14;"O cálculo do cpf não pode permitir números iguais como 11111111111"
51;"00000000000:false";14;"O cálculo do cpf não pode permitir números iguais como 00000000000"
52;"58845688518:false";14;"O cálculo do cpf está inválido"
53;"44444444444:false";14;"O cálculo do cpf não pode permitir números iguais como 44444444444"
54;"Razor:false";15;"Está faltando o atributo modelo"
55;"tampar:false";15;"O método tampar não está tampando a caneta"
56;"destampar:false";15;"O método destampar não está destampando a caneta"
